City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
556,Ntoum,GA,78.57,0.3833,9.7833,Hôtel Santa Barbara
557,Victoria,HK,87.24,22.2855,114.1577,Mini Central
558,Kaya,BF,89.47,13.0917,-1.0844,Maison de l'appelé
562,San Antonio,US,75.72,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
563,Tartus,SY,78.01,34.889,35.8866,Mahmoud’s Home
564,Tarakan,ID,82.54,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
566,Salamiyah,SY,85.19,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
567,Shoranur,IN,82.99,10.7667,76.2833,CT Tourist Home Hotel
568,Tura,IN,76.78,25.5198,90.2201,Hotel RIKMAN Continental
570,Cabedelo,BR,77.67,-6.9811,-34.8339,Pousada Camboinha
571,Panama City,PA,76.37,8.9936,-79.5197,Trump International Hotel & Tower Panama
572,Faya,SA,77.52,18.3851,42.4509,شيلة نسايم
573,Augusto Correa,BR,84.42,-1.0217,-46.635,Fazenda Bacuri
575,Teknaf,BD,83.05,20.8624,92.3058,Forestry Guesthouse
584,Dhidhdhoo,MV,80.78,6.8833,73.1,Dhidhoo beach
587,Sarangani,PH,84.15,5.4033,125.4636,JVL Inn and Cafeteria
590,Korhogo,CI,78.42,9.45,-5.6333,Hôtel Tchinbota
591,Lorengau,PG,81.72,-2.0226,147.2712,Lorengau Harbourside Hotel
592,Caravelas,BR,77.27,-17.7125,-39.2481,Pousada dos Navegantes
597,Churu,IN,89.42,28.3,74.95,Malji Ka Kamra
599,Port Hedland,AU,80.65,-20.3167,118.5667,The Esplanade Hotel
602,Pastos Bons,BR,82.71,-6.6017,-44.0767,Área de lazer casa (Pucina)
604,Baillif,GP,83.64,16.0202,-61.7463,Hôtel Saint-Georges
605,Manadhoo,MV,81.19,5.7667,73.3833,Bon Abri maldives
607,Wanning,CN,75.0,18.8003,110.3967,Paradise Hotel
609,Palmas,BR,82.27,-10.2128,-48.3603,Hotel Lago da Palma
610,Baiao,BR,79.77,-2.7906,-49.6717,Município de Baião
611,Grand-Santi,GF,76.01,4.25,-54.3833,Hotel La Villa Couacou
614,Namatanai,PG,80.29,-3.6667,152.4333,Seagulls Inn Namatani
624,Thinadhoo,MV,82.02,0.5333,72.9333,
625,Myitkyina,MM,81.68,25.3833,97.4,Shwe Phyu Hotel
626,Karauli,IN,85.51,26.5,77.0167,Bhanwar Vilas Palace
630,Baripada,IN,84.27,21.935,86.7214,Aparna Hotel
637,Oistins,BB,82.49,13.0667,-59.5333,Butterfly Beach Hotel
639,Praya,CV,77.4,14.9215,-23.5087,LT Aparthotel
640,Houston,US,75.09,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
641,Rosetta,EG,77.25,31.4044,30.4164,Green Valley
642,Bijawar,IN,80.22,24.6333,79.5,Shreya agro agency bijawer
643,Acapulco,MX,80.42,16.8634,-99.8901,HS Hotsson Smart Acapulco
645,Fenoarivo,MG,82.47,-18.933,47.4354,Skyfol Ambodiafontsy
650,Pundaguitan,PH,84.27,6.3711,126.1689,Leonardo Family Beach House 1
651,Nelspruit,ZA,79.09,-25.4745,30.9703,Leaves Lodge and Spa
655,Jacqueville,CI,77.41,5.2052,-4.4146,Hotel Le Martin Pecheur
658,Quatre Cocos,MU,77.09,-20.2078,57.7625,Sunrise Attitude Hotel
659,Santa Rosa,PH,85.08,14.3122,121.1114,Erlyn’s Sta Rosa City Home
663,Dingli,MT,76.82,35.8614,14.3822,The Xara Palace Relais & Chateaux
664,Sidi Ali,DZ,80.02,36.0998,0.4206,Khaled
670,Altamira,BR,76.93,-3.2033,-52.2064,Requinte Hotel
676,Tezu,IN,75.6,27.9167,96.1667,Circuit House
